,0,1,2,Latitude,Longitude
298,14411,0,2019-06-13 12:16:42.516090,52.5195966,13.3072419
299,19988,0,2019-06-13 12:16:42.516090,52.5012898,13.444586
300,14288,0,2019-06-13 12:16:42.516090,52.5255435,13.3772843
301,14387,0,2019-06-13 12:16:42.516090,52.5215372,13.3248852
302,16094,0,2019-06-13 12:16:42.516090,52.5225698,13.3947826
303,14037,0,2019-06-13 12:16:42.516090,52.5140773,13.4055847
304,15008,0,2019-06-13 12:16:42.516090,52.5203232,13.299464
305,15909,0,2019-06-13 12:16:42.516090,52.4999259,13.4456506
306,13588,0,2019-06-13 12:16:42.516090,52.4854266,13.3576787
307,14556,0,2019-06-13 12:16:42.516090,52.5226737,13.4045319
308,13127,0,2019-06-13 12:16:42.516090,52.5067041,13.3500277
309,15863,0,2019-06-13 12:16:42.516090,52.5271916,13.3724978
310,13586,0,2019-06-13 12:16:42.516090,52.4945481,13.3996502
311,13895,0,2019-06-13 12:16:42.516090,52.5062257,13.4779216
312,16109,0,2019-06-13 12:16:42.516090,52.5181783,13.41836
313,13023,0,2019-06-13 12:16:42.516090,52.4785966,13.4385751
314,13335,0,2019-06-13 12:16:42.516090,52.5233889,13.3095243
315,13298,0,2019-06-13 12:16:42.516090,52.4975008,13.3619652
316,13446,0,2019-06-13 12:16:42.516090,52.4957865,13.37332447
317,13529,0,2019-06-13 12:16:42.516090,52.5089349,13.5247663
318,15883,0,2019-06-13 12:16:42.516090,52.5353583,13.4718216
319,14919,0,2019-06-13 12:16:42.516090,52.5080188,13.3227816
320,15063,0,2019-06-13 12:16:42.516090,52.5022818,13.3949418
321,14773,0,2019-06-13 12:16:42.516090,52.4941505,13.3804998
322,15209,0,2019-06-13 12:16:42.516090,52.491653,13.3870513
323,13046,0,2019-06-13 12:16:42.516090,52.5206161,13.395078
324,13879,0,2019-06-13 12:16:42.516090,52.5247191,13.3776113
325,13684,0,2019-06-13 12:16:42.516090,52.4906086,13.3632855
326,14814,0,2019-06-13 12:16:42.516090,52.4883328,13.3379034
327,13501,0,2019-06-13 12:16:42.516090,52.532139,13.3317701
328,14020,0,2019-06-13 12:16:42.516090,52.4719946,13.4514608
329,16035,0,2019-06-13 12:16:42.516090,52.4855785,13.3445827
330,14813,0,2019-06-13 12:16:42.516090,52.5503401,13.4955876
331,13844,0,2019-06-13 12:16:42.516090,52.486385,13.4428005
332,14001,0,2019-06-13 12:16:42.516090,52.5193457,13.3885552
333,15242,0,2019-06-13 12:16:42.516090,52.5234408,13.3605566
334,14845,0,2019-06-13 12:16:42.516090,52.4960919,13.4219927
335,13878,0,2019-06-13 12:16:42.516090,52.5232248,13.3918679
336,15844,0,2019-06-13 12:16:42.516090,52.4832051,13.4352492
337,13498,0,2019-06-13 12:16:42.516090,52.4991103,13.3813847
338,13398,0,2019-06-13 12:16:42.516090,52.5022704,13.4148072
339,14960,0,2019-06-13 12:16:42.516090,52.4933758,13.3849751
340,14792,0,2019-06-13 12:16:42.516090,52.5231746,13.3064643
341,15913,0,2019-06-13 12:16:42.516090,52.4959374,13.3296444
342,14249,0,2019-06-13 12:16:42.516090,52.4730646,13.3171098
343,14853,0,2019-06-13 12:16:42.516090,52.4823359,13.3476014
344,15395,0,2019-06-13 12:16:42.516090,52.5052939,13.4022877
345,14791,0,2019-06-13 12:16:42.516090,52.5090429,13.4364343
346,15296,0,2019-06-13 12:16:42.516090,52.5018694,13.3855663
347,14285,0,2019-06-13 12:16:42.516090,52.5020165,13.3854852
348,14106,0,2019-06-13 12:16:42.516090,52.5273607,13.4030644
349,13615,0,2019-06-13 12:16:42.516090,52.4591423,13.3753716
350,15128,0,2019-06-13 12:16:42.516090,52.51608,13.4083021
