,0,1,2,Longitude, Latitude
68,177742,1,2019-06-13 12:22:01.762888,13.410695,52.52136
69,183878,1,2019-06-13 12:22:01.762888,13.404144,52.523823
70,175867,1,2019-06-13 12:22:01.762888,13.407062,52.516262
71,176780,1,2019-06-13 12:22:01.762888,13.411302,52.5189
72,176620,1,2019-06-13 12:22:01.762888,13.410003952,52.522598171
73,175731,1,2019-06-13 12:22:01.762888,13.410396,52.522324
74,176310,1,2019-06-13 12:22:01.762888,13.406438,52.516068
75,176799,1,2019-06-13 12:22:01.762888,13.410583,52.52228
76,174735,1,2019-06-13 12:22:01.762888,13.411798,52.51968
77,178062,1,2019-06-13 12:22:01.762888,13.405454,52.52422
78,177680,1,2019-06-13 12:22:01.762888,13.4065485,52.52412
79,175096,1,2019-06-13 12:22:01.762888,13.407762,52.523956
80,184035,1,2019-06-13 12:22:01.762888,13.406088,52.524258
81,186963,1,2019-06-13 12:22:01.762888,13.406327,52.52425
82,178155,1,2019-06-13 12:22:01.762888,13.411487,52.518234
83,175371,1,2019-06-13 12:22:01.762888,13.412144,52.519695
84,175456,1,2019-06-13 12:22:01.762888,13.406255,52.524364
85,175584,1,2019-06-13 12:22:01.762888,13.403666,52.515625
86,174672,1,2019-06-13 12:22:01.762888,13.406106,52.524418
87,183856,1,2019-06-13 12:22:01.762888,13.406758,52.515667
88,175370,1,2019-06-13 12:22:01.762888,13.403587,52.515606
89,177784,1,2019-06-13 12:22:01.762888,13.410338,52.51691
90,175554,1,2019-06-13 12:22:01.762888,13.406187,52.524456
91,177255,1,2019-06-13 12:22:01.762888,13.41158,52.517925
92,177862,1,2019-06-13 12:22:01.762888,13.410769,52.522865
93,174801,1,2019-06-13 12:22:01.762888,13.406389,52.52448
94,175444,1,2019-06-13 12:22:01.762888,13.4117565,52.518097
95,175458,1,2019-06-13 12:22:01.762888,13.412457,52.519485
96,184145,1,2019-06-13 12:22:01.762888,13.402914,52.52447
97,175874,1,2019-06-13 12:22:01.762888,13.411822,52.518005
98,175605,1,2019-06-13 12:22:01.762888,13.4043865,52.524635
99,177803,1,2019-06-13 12:22:01.762888,13.412447,52.51911
100,176671,1,2019-06-13 12:22:01.762888,13.411781,52.517914
101,175750,1,2019-06-13 12:22:01.762888,13.412592,52.520466
102,183913,1,2019-06-13 12:22:01.762888,13.403367,52.515415
103,183818,1,2019-06-13 12:22:01.762888,13.408934,52.524097
104,183740,1,2019-06-13 12:22:01.762888,13.403529,52.524754
105,186813,1,2019-06-13 12:22:01.762888,13.398022,52.522636
106,174869,1,2019-06-13 12:22:01.762888,13.398912,52.523426
107,176518,1,2019-06-13 12:22:01.762888,13.399946,52.516018
108,178159,1,2019-06-13 12:22:01.762888,13.411345,52.523308
109,177202,1,2019-06-13 12:22:01.762888,13.4000856,52.5157949
110,177195,1,2019-06-13 12:22:01.762888,13.40286,52.51496
111,184036,1,2019-06-13 12:22:01.762888,13.39841,52.52342
112,177523,1,2019-06-13 12:22:01.762888,13.405144,52.514755
113,176406,1,2019-06-13 12:22:01.762888,13.410348,52.515804
114,174750,1,2019-06-13 12:22:01.762888,13.396433,52.518444
115,175385,1,2019-06-13 12:22:01.762888,13.398463,52.523724
116,175712,1,2019-06-13 12:22:01.762888,13.4113241,52.523841
117,177899,1,2019-06-13 12:22:01.762888,13.4113241,52.523841
118,176530,1,2019-06-13 12:22:01.762888,13.4113241,52.523841
119,183896,1,2019-06-13 12:22:01.762888,13.4113241,52.523841
120,177764,1,2019-06-13 12:22:01.762888,13.409187,52.524815
121,174901,1,2019-06-13 12:22:01.762888,13.408017,52.525158
122,176279,1,2019-06-13 12:22:01.762888,13.409532,52.524757
123,177049,1,2019-06-13 12:22:01.762888,13.395903,52.520805
124,177964,1,2019-06-13 12:22:01.762888,13.413529,52.51791
125,176168,1,2019-06-13 12:22:01.762888,13.4066141,52.5144596
126,177018,1,2019-06-13 12:22:01.762888,13.4066141,52.5144596
127,177152,1,2019-06-13 12:22:01.762888,13.4066141,52.5144596
128,176790,1,2019-06-13 12:22:01.762888,13.413602,52.51787
129,177088,1,2019-06-13 12:22:01.762888,13.403596,52.525673
130,178137,1,2019-06-13 12:22:01.762888,13.398667,52.51569
131,176124,1,2019-06-13 12:22:01.762888,13.395543,52.520866
132,177163,1,2019-06-13 12:22:01.762888,13.411639,52.52415
133,174746,1,2019-06-13 12:22:01.762888,13.41453,52.521008
134,184135,1,2019-06-13 12:22:01.762888,13.405151,52.513996
135,186961,1,2019-06-13 12:22:01.762888,13.4149342,52.5205819
136,177400,1,2019-06-13 12:22:01.762888,13.4149342,52.5205819
137,177532,1,2019-06-13 12:22:01.762888,13.412267,52.524376
138,177749,1,2019-06-13 12:22:01.762888,13.412861,52.51604
139,184158,1,2019-06-13 12:22:01.762888,13.397505,52.5157
140,186949,1,2019-06-13 12:22:01.762888,13.406168,52.513763
141,175105,1,2019-06-13 12:22:01.762888,13.406127,52.51375
142,176159,1,2019-06-13 12:22:01.762888,13.394711,52.520935
143,175901,1,2019-06-13 12:22:01.762888,13.4074545,52.513874
144,183852,1,2019-06-13 12:22:01.762888,13.39516,52.51772
145,177513,1,2019-06-13 12:22:01.762888,13.395541,52.522835
146,176526,1,2019-06-13 12:22:01.762888,13.39522,52.51759
147,176112,1,2019-06-13 12:22:01.762888,13.39522,52.51759
148,174596,1,2019-06-13 12:22:01.762888,13.407563,52.52621
149,177850,1,2019-06-13 12:22:01.762888,13.395489,52.522804
150,174576,1,2019-06-13 12:22:01.762888,13.395105,52.517735
151,183777,1,2019-06-13 12:22:01.762888,13.403672,52.513634
